year,month,plot,treatment,resourcetreatment,anttreatment
1978,4,20,control,mixed_seeds,none
1978,4,21,exclosure,none,rugosus
1978,4,22,control,small_seeds,none
1978,4,23,removal,none,all_ants
1978,5,1,control,mixed_pulse,none
1978,5,2,control,small_seeds,none
1978,5,3,exclosure,none,none
1978,5,4,control,none,all_ants
1978,5,5,control,none,none
1978,5,6,control,large_seeds,none
1978,5,7,removal,none,none
1978,5,8,control,none,rugosus
1978,5,9,control,mixed_seeds,none
1978,5,10,removal,none,all_ants
1978,5,11,control,none,none
1978,5,12,control,none,none
1978,5,13,control,large_seeds,none
1978,5,14,control,none,none
1978,5,15,exclosure,none,rugosus
1978,5,16,removal,none,none
1978,5,17,control,none,all_ants
1978,5,18,control,mixed_pulse,none
1978,5,19,exclosure,none,none
1978,5,20,control,mixed_seeds,none
1978,5,21,exclosure,none,rugosus
1978,5,22,control,small_seeds,none
1978,5,23,removal,none,all_ants
1978,6,1,control,mixed_pulse,none
1978,6,2,control,small_seeds,none
1978,6,3,exclosure,none,none
1978,6,4,control,none,all_ants
1978,6,5,control,none,none
1978,6,6,control,large_seeds,none
1978,6,7,removal,none,none
1978,6,8,control,none,rugosus
1978,6,9,control,mixed_seeds,none
1978,6,10,removal,none,all_ants
1978,6,11,control,none,none
1978,6,12,control,none,none
1978,6,13,control,large_seeds,none
1978,6,14,control,none,none
1978,6,15,exclosure,none,rugosus
1978,6,16,removal,none,none
1978,6,17,control,none,all_ants
1978,6,18,control,mixed_pulse,none
1978,6,19,exclosure,none,none
1978,6,20,control,mixed_seeds,none
1978,6,21,exclosure,none,rugosus
1978,6,22,control,small_seeds,none
1978,6,23,removal,none,all_ants
1978,7,1,control,mixed_pulse,none
1978,7,2,control,small_seeds,none
1978,7,3,exclosure,none,none
1978,7,4,control,none,all_ants
1978,7,5,control,none,none
1978,7,6,control,large_seeds,none
1978,7,7,removal,none,none
1978,7,8,control,none,rugosus
1978,7,9,control,mixed_seeds,none
1978,7,10,removal,none,all_ants
1978,7,11,control,none,none
1978,7,12,control,none,none
1978,7,13,control,large_seeds,none
1978,7,14,control,none,none
1978,7,15,exclosure,none,rugosus
1978,7,16,removal,none,none
1978,7,17,control,none,all_ants
1978,7,18,control,mixed_pulse,none
1978,7,19,exclosure,none,none
1978,7,20,control,mixed_seeds,none
1978,7,21,exclosure,none,rugosus
1978,7,22,control,small_seeds,none
1978,7,23,removal,none,all_ants
1978,8,1,control,mixed_pulse,none
1978,8,2,control,small_seeds,none
1978,8,3,exclosure,none,none
1978,8,4,control,none,all_ants
1978,8,5,control,none,none
1978,8,6,control,large_seeds,none
1978,8,7,removal,none,none
1978,8,8,control,none,rugosus
1978,8,9,control,mixed_seeds,none
1978,8,10,removal,none,all_ants
1978,8,11,control,none,none
1978,8,12,control,none,none
1978,8,13,control,large_seeds,none
1978,8,14,control,none,none
1978,8,15,exclosure,none,rugosus
1978,8,16,removal,none,none
1978,8,17,control,none,all_ants
1978,8,18,control,mixed_pulse,none
1978,8,19,exclosure,none,none
1978,8,20,control,mixed_seeds,none
1978,8,21,exclosure,none,rugosus
1978,8,22,control,small_seeds,none
1978,8,23,removal,none,all_ants
1978,9,1,control,mixed_pulse,none
1978,9,2,control,small_seeds,none
1978,9,3,exclosure,none,none
1978,9,4,control,none,all_ants
1978,9,5,control,none,none
1978,9,6,control,large_seeds,none
1978,9,7,removal,none,none
1978,9,8,control,none,rugosus
1978,9,9,control,mixed_seeds,none
1978,9,10,removal,none,all_ants
1978,9,11,control,none,none
1978,9,12,control,none,none
1978,9,13,control,large_seeds,none
1978,9,14,control,none,none
1978,9,15,exclosure,none,rugosus
1978,9,16,removal,none,none
1978,9,17,control,none,all_ants
1978,9,18,control,mixed_pulse,none
1978,9,19,exclosure,none,none
1978,9,20,control,mixed_seeds,none
1978,9,21,exclosure,none,rugosus
1978,9,22,control,small_seeds,none
1978,9,23,removal,none,all_ants
1978,10,1,control,mixed_pulse,none
1978,10,2,control,small_seeds,none
1978,10,3,exclosure,none,none
1978,10,4,control,none,all_ants
1978,10,5,control,none,none
1978,10,6,control,large_seeds,none
1978,10,7,removal,none,none
1978,10,8,control,none,rugosus
1978,10,9,control,mixed_seeds,none
1978,10,10,removal,none,all_ants
1978,10,11,control,none,none
1978,10,12,control,none,none
1978,10,13,control,large_seeds,none
1978,10,14,control,none,none
1978,10,15,exclosure,none,rugosus
1978,10,16,removal,none,none
1978,10,17,control,none,all_ants
1978,10,18,control,mixed_pulse,none
1978,10,19,exclosure,none,none
1978,10,20,control,mixed_seeds,none
1978,10,21,exclosure,none,rugosus
1978,10,22,control,small_seeds,none
1978,10,23,removal,none,all_ants
1978,11,1,control,mixed_pulse,none
1978,11,2,control,small_seeds,none
1978,11,3,exclosure,none,none
1978,11,4,control,none,all_ants
1978,11,5,control,none,none
1978,11,6,control,large_seeds,none
1978,11,7,removal,none,none
1978,11,8,control,none,rugosus
1978,11,9,control,mixed_seeds,none
1978,11,10,removal,none,all_ants
1978,11,11,control,none,none
1978,11,12,control,none,none
1978,11,13,control,large_seeds,none
1978,11,14,control,none,none
1978,11,15,exclosure,none,rugosus
1978,11,16,removal,none,none
1978,11,17,control,none,all_ants
1978,11,18,control,mixed_pulse,none
1978,11,19,exclosure,none,none
1978,11,20,control,mixed_seeds,none
1978,11,21,exclosure,none,rugosus
1978,11,22,control,small_seeds,none
1978,11,23,removal,none,all_ants
1978,12,1,control,mixed_pulse,none
1978,12,2,control,small_seeds,none
1978,12,3,exclosure,none,none
1978,12,4,control,none,all_ants
1978,12,5,control,none,none
1978,12,6,control,large_seeds,none
1978,12,7,removal,none,none
1978,12,8,control,none,rugosus
1978,12,9,control,mixed_seeds,none
1978,12,10,removal,none,all_ants
1978,12,11,control,none,none
1978,12,12,control,none,none
1978,12,13,control,large_seeds,none
1978,12,14,control,none,none
1978,12,15,exclosure,none,rugosus
1978,12,16,removal,none,none
1978,12,17,control,none,all_ants
1978,12,18,control,mixed_pulse,none
1978,12,19,exclosure,none,none
1978,12,20,control,mixed_seeds,none
1978,12,21,exclosure,none,rugosus
1978,12,22,control,small_seeds,none
1978,12,23,removal,none,all_ants
1979,1,1,control,mixed_pulse,none
1979,1,2,control,small_seeds,none
1979,1,3,exclosure,none,none
1979,1,4,control,none,all_ants
1979,1,5,control,none,none
1979,1,6,control,large_seeds,none
1979,1,7,removal,none,none
1979,1,8,control,none,rugosus
1979,1,9,control,mixed_seeds,none
1979,1,10,removal,none,all_ants
1979,1,11,control,none,none
1979,1,12,control,none,none
1979,1,13,control,large_seeds,none
1979,1,14,control,none,none
1979,1,15,exclosure,none,rugosus
1979,1,16,removal,none,none
1979,1,17,control,none,all_ants
1979,1,18,control,mixed_pulse,none
1979,1,19,exclosure,none,none
1979,1,20,control,mixed_seeds,none
1979,1,21,exclosure,none,rugosus
1979,1,22,control,small_seeds,none
1979,1,23,removal,none,all_ants
1979,2,1,control,mixed_pulse,none
1979,2,2,control,small_seeds,none
1979,2,3,exclosure,none,none
1979,2,4,control,none,all_ants
1979,2,5,control,none,none
1979,2,6,control,large_seeds,none
1979,2,7,removal,none,none
1979,2,8,control,none,rugosus
1979,2,9,control,mixed_seeds,none
1979,2,10,removal,none,all_ants
1979,2,11,control,none,none
1979,2,12,control,none,none
1979,2,13,control,large_seeds,none
1979,2,14,control,none,none
1979,2,15,exclosure,none,rugosus
1979,2,16,removal,none,none
1979,2,17,control,none,all_ants
1979,2,18,control,mixed_pulse,none
1979,2,19,exclosure,none,none
1979,2,20,control,mixed_seeds,none
1979,2,21,exclosure,none,rugosus
1979,2,22,control,small_seeds,none
1979,2,23,removal,none,all_ants
1979,3,1,control,mixed_pulse,none
1979,3,2,control,small_seeds,none
1979,3,3,exclosure,none,none
1979,3,4,control,none,all_ants
1979,3,5,control,none,none
1979,3,6,control,large_seeds,none
1979,3,7,removal,none,none
1979,3,8,control,none,rugosus
1979,3,9,control,mixed_seeds,none
1979,3,10,removal,none,all_ants
1979,3,11,control,none,none
1979,3,12,control,none,none
1979,3,13,control,large_seeds,none
1979,3,14,control,none,none
1979,3,15,exclosure,none,rugosus
1979,3,16,removal,none,none
1979,3,17,control,none,all_ants
1979,3,18,control,mixed_pulse,none
1979,3,19,exclosure,none,none
1979,3,20,control,mixed_seeds,none
1979,3,21,exclosure,none,rugosus
1979,3,22,control,small_seeds,none
1979,3,23,removal,none,all_ants
1979,4,1,control,mixed_pulse,none
1979,4,2,control,small_seeds,none
1979,4,3,exclosure,none,none
1979,4,4,control,none,all_ants
1979,4,5,control,none,none
1979,4,6,control,large_seeds,none
1979,4,7,removal,none,none
1979,4,8,control,none,rugosus
1979,4,9,control,mixed_seeds,none
1979,4,10,removal,none,all_ants
1979,4,11,control,none,none
1979,4,12,control,none,none
1979,4,13,control,large_seeds,none
1979,4,14,control,none,none
1979,4,15,exclosure,none,rugosus
1979,4,16,removal,none,none
1979,4,17,control,none,all_ants
1979,4,18,control,mixed_pulse,none
1979,4,19,exclosure,none,none
1979,4,20,control,mixed_seeds,none
1979,4,21,exclosure,none,rugosus
1979,4,22,control,small_seeds,none
1979,4,23,removal,none,all_ants
1979,5,1,control,mixed_pulse,none
1979,5,2,control,small_seeds,none
1979,5,3,exclosure,none,none
1979,5,4,control,none,all_ants
1979,5,5,control,none,none
1979,5,6,control,large_seeds,none
1979,5,7,removal,none,none
1979,5,8,control,none,rugosus
1979,5,9,control,mixed_seeds,none
1979,5,10,removal,none,all_ants
1979,5,11,control,none,none
1979,5,12,control,none,none
1979,5,13,control,large_seeds,none
1979,5,14,control,none,none
1979,5,15,exclosure,none,rugosus
1979,5,16,removal,none,none
1979,5,17,control,none,all_ants
1979,5,18,control,mixed_pulse,none
1979,5,19,exclosure,none,none
1979,5,20,control,mixed_seeds,none
1979,5,21,exclosure,none,rugosus
1979,5,22,control,small_seeds,none
1979,5,23,removal,none,all_ants
1979,6,1,control,mixed_pulse,none
1979,6,2,control,small_seeds,none
1979,6,3,exclosure,none,none
1979,6,4,control,none,all_ants
1979,6,5,control,none,none
1979,6,6,control,large_seeds,none
1979,6,7,removal,none,none
1979,6,8,control,none,rugosus
1979,6,9,control,mixed_seeds,none
1979,6,10,removal,none,all_ants
1979,6,11,control,none,none
1979,6,12,control,none,none
1979,6,13,control,large_seeds,none
1979,6,14,control,none,none
1979,6,15,exclosure,none,rugosus
1979,6,16,removal,none,none
1979,6,17,control,none,all_ants
1979,6,18,control,mixed_pulse,none
1979,6,19,exclosure,none,none
1979,6,20,control,mixed_seeds,none
1979,6,21,exclosure,none,rugosus
1979,6,22,control,small_seeds,none
1979,6,23,removal,none,all_ants
1979,7,1,control,mixed_pulse,none
1979,7,2,control,small_seeds,none
1979,7,3,exclosure,none,none
1979,7,4,control,none,all_ants
1979,7,5,spectabs,none,none
1979,7,6,control,large_seeds,none
1979,7,7,removal,none,none
1979,7,8,control,none,rugosus
1979,7,9,control,mixed_seeds,none
1979,7,10,removal,none,all_ants
1979,7,11,control,none,none
1979,7,12,control,none,rugosus
1979,7,13,control,large_seeds,none
1979,7,14,control,none,none
1979,7,15,exclosure,none,rugosus
1979,7,16,removal,none,none
1979,7,17,control,none,all_ants
1979,7,18,control,mixed_pulse,none
1979,7,19,exclosure,none,none
1979,7,20,control,mixed_seeds,none
1979,7,21,exclosure,none,rugosus
1979,7,22,control,small_seeds,none
1979,7,23,removal,none,all_ants
1979,8,1,control,mixed_pulse,none
1979,8,2,control,small_seeds,none
1979,8,3,exclosure,none,none
1979,8,4,control,none,all_ants
1979,8,5,spectabs,none,none
1979,8,6,control,large_seeds,none
1979,8,7,removal,none,none
1979,8,8,control,none,rugosus
1979,8,9,control,mixed_seeds,none
1979,8,10,removal,none,all_ants
1979,8,11,control,none,none
1979,8,12,control,none,rugosus
1979,8,13,control,large_seeds,none
1979,8,14,control,none,none
1979,8,15,exclosure,none,rugosus
1979,8,16,removal,none,none
1979,8,17,control,none,all_ants
1979,8,18,control,mixed_pulse,none
1979,8,19,exclosure,none,none
1979,8,20,control,mixed_seeds,none
1979,8,21,exclosure,none,rugosus
1979,8,22,control,small_seeds,none
1979,8,23,removal,none,all_ants
1979,8,24,control,none,none
1979,9,1,control,mixed_pulse,none
1979,9,2,control,small_seeds,none
1979,9,3,exclosure,none,none
1979,9,4,control,none,all_ants
1979,9,5,spectabs,none,none
1979,9,6,control,large_seeds,none
1979,9,7,removal,none,none
1979,9,8,control,none,rugosus
1979,9,9,control,mixed_seeds,none
1979,9,10,removal,none,all_ants
1979,9,11,control,none,none
1979,9,12,control,none,rugosus
1979,9,13,control,large_seeds,none
1979,9,14,control,none,none
1979,9,15,exclosure,none,rugosus
1979,9,16,removal,none,none
1979,9,17,control,none,all_ants
1979,9,18,control,mixed_pulse,none
1979,9,19,exclosure,none,none
1979,9,20,control,mixed_seeds,none
1979,9,21,exclosure,none,rugosus
1979,9,22,control,small_seeds,none
1979,9,23,removal,none,all_ants
1979,9,24,control,none,none
1979,10,1,control,mixed_pulse,none
1979,10,2,control,small_seeds,none
1979,10,3,exclosure,none,none
1979,10,4,control,none,all_ants
1979,10,5,spectabs,none,none
1979,10,6,control,large_seeds,none
1979,10,7,removal,none,none
1979,10,8,control,none,rugosus
1979,10,9,control,mixed_seeds,none
1979,10,10,removal,none,all_ants
1979,10,11,control,none,none
1979,10,12,control,none,rugosus
1979,10,13,control,large_seeds,none
1979,10,14,control,none,none
1979,10,15,exclosure,none,rugosus
1979,10,16,removal,none,none
1979,10,17,control,none,all_ants
1979,10,18,control,mixed_pulse,none
1979,10,19,exclosure,none,none
1979,10,20,control,mixed_seeds,none
1979,10,21,exclosure,none,rugosus
1979,10,22,control,small_seeds,none
1979,10,23,removal,none,all_ants
1979,10,24,control,none,none
1979,11,1,control,mixed_pulse,none
1979,11,2,control,small_seeds,none
1979,11,3,exclosure,none,none
1979,11,4,control,none,all_ants
1979,11,5,spectabs,none,none
1979,11,6,control,large_seeds,none
1979,11,7,removal,none,none
1979,11,8,control,none,rugosus
1979,11,9,control,mixed_seeds,none
1979,11,10,removal,none,all_ants
1979,11,11,control,none,none
1979,11,12,control,none,rugosus
1979,11,13,control,large_seeds,none
1979,11,14,control,none,none
1979,11,15,exclosure,none,rugosus
1979,11,16,removal,none,none
1979,11,17,control,none,all_ants
1979,11,18,control,mixed_pulse,none
1979,11,19,exclosure,none,none
1979,11,20,control,mixed_seeds,none
1979,11,21,exclosure,none,rugosus
1979,11,22,control,small_seeds,none
1979,11,23,removal,none,all_ants
1979,11,24,control,none,none
1979,12,1,control,mixed_pulse,none
1979,12,2,control,small_seeds,none
1979,12,3,exclosure,none,none
1979,12,4,control,none,all_ants
1979,12,5,spectabs,none,none
1979,12,6,control,large_seeds,none
1979,12,7,removal,none,none
1979,12,8,control,none,rugosus
1979,12,9,control,mixed_seeds,none
1979,12,10,removal,none,all_ants
1979,12,11,control,none,none
1979,12,12,control,none,rugosus
1979,12,13,control,large_seeds,none
1979,12,14,control,none,none
1979,12,15,exclosure,none,rugosus
1979,12,16,removal,none,none
1979,12,17,control,none,all_ants
1979,12,18,control,mixed_pulse,none
1979,12,19,exclosure,none,none
1979,12,20,control,mixed_seeds,none
1979,12,21,exclosure,none,rugosus
1979,12,22,control,small_seeds,none
1979,12,23,removal,none,all_ants
1979,12,24,control,none,none
1980,1,1,control,mixed_pulse,none
1980,1,2,control,small_seeds,none
1980,1,3,exclosure,none,none
1980,1,4,control,none,all_ants
1980,1,5,spectabs,none,none
1980,1,6,control,large_seeds,none
1980,1,7,removal,none,none
1980,1,8,control,none,rugosus
1980,1,9,control,mixed_seeds,none
1980,1,10,removal,none,all_ants
1980,1,11,control,none,none
1980,1,12,control,none,rugosus
1980,1,13,control,large_seeds,none
1980,1,14,control,none,none
1980,1,15,exclosure,none,rugosus
1980,1,16,removal,none,none
1980,1,17,control,none,all_ants
1980,1,18,control,mixed_pulse,none
1980,1,19,exclosure,none,none
1980,1,20,control,mixed_seeds,none
1980,1,21,exclosure,none,rugosus
1980,1,22,control,small_seeds,none
1980,1,23,removal,none,all_ants
1980,1,24,control,none,none
1980,2,1,control,mixed_pulse,none
1980,2,2,control,small_seeds,none
1980,2,3,exclosure,none,none
1980,2,4,control,none,all_ants
1980,2,5,spectabs,none,none
1980,2,6,control,large_seeds,none
1980,2,7,removal,none,none
1980,2,8,control,none,rugosus
1980,2,9,control,mixed_seeds,none
1980,2,10,removal,none,all_ants
1980,2,11,control,none,none
1980,2,12,control,none,rugosus
1980,2,13,control,large_seeds,none
1980,2,14,control,none,none
1980,2,15,exclosure,none,rugosus
1980,2,16,removal,none,none
1980,2,17,control,none,all_ants
1980,2,18,control,mixed_pulse,none
1980,2,19,exclosure,none,none
1980,2,20,control,mixed_seeds,none
1980,2,21,exclosure,none,rugosus
1980,2,22,control,small_seeds,none
1980,2,23,removal,none,all_ants
1980,2,24,spectabs,none,none
1980,3,1,control,mixed_pulse,none
1980,3,2,control,small_seeds,none
1980,3,3,exclosure,none,none
1980,3,4,control,none,all_ants
1980,3,5,spectabs,none,none
1980,3,6,control,large_seeds,none
1980,3,7,removal,none,none
1980,3,8,control,none,rugosus
1980,3,9,control,mixed_seeds,none
1980,3,10,removal,none,all_ants
1980,3,11,control,none,none
1980,3,12,control,none,rugosus
1980,3,13,control,large_seeds,none
1980,3,14,control,none,none
1980,3,15,exclosure,none,rugosus
1980,3,16,removal,none,none
1980,3,17,control,none,all_ants
1980,3,18,control,mixed_pulse,none
1980,3,19,exclosure,none,none
1980,3,20,control,mixed_seeds,none
1980,3,21,exclosure,none,rugosus
1980,3,22,control,small_seeds,none
1980,3,23,removal,none,all_ants
1980,3,24,spectabs,none,none
1980,4,1,control,mixed_pulse,none
1980,4,2,control,small_seeds,none
1980,4,3,exclosure,none,none
1980,4,4,control,none,all_ants
1980,4,5,spectabs,none,none
1980,4,6,control,large_seeds,none
1980,4,7,removal,none,none
1980,4,8,control,none,rugosus
1980,4,9,control,mixed_seeds,none
1980,4,10,removal,none,all_ants
1980,4,11,control,none,none
1980,4,12,control,none,rugosus
1980,4,13,control,large_seeds,none
1980,4,14,control,none,none
1980,4,15,exclosure,none,rugosus
1980,4,16,removal,none,none
1980,4,17,control,none,all_ants
1980,4,18,control,mixed_pulse,none
1980,4,19,exclosure,none,none
1980,4,20,control,mixed_seeds,none
1980,4,21,exclosure,none,rugosus
1980,4,22,control,small_seeds,none
1980,4,23,removal,none,all_ants
1980,4,24,spectabs,none,none
1980,5,1,control,mixed_pulse,none
1980,5,2,control,small_seeds,none
1980,5,3,exclosure,none,none
1980,5,4,control,none,all_ants
1980,5,5,spectabs,none,none
1980,5,6,control,large_seeds,none
1980,5,7,removal,none,none
1980,5,8,control,none,rugosus
1980,5,9,control,mixed_seeds,none
1980,5,10,removal,none,all_ants
1980,5,11,control,none,none
1980,5,12,control,none,rugosus
1980,5,13,control,large_seeds,none
1980,5,14,control,none,none
1980,5,15,exclosure,none,rugosus
1980,5,16,removal,none,none
1980,5,17,control,none,all_ants
1980,5,18,control,mixed_pulse,none
1980,5,19,exclosure,none,none
1980,5,20,control,mixed_seeds,none
1980,5,21,exclosure,none,rugosus
1980,5,22,control,small_seeds,none
1980,5,23,removal,none,all_ants
1980,5,24,spectabs,none,none
1980,6,1,control,mixed_pulse,none
1980,6,2,control,small_seeds,none
1980,6,3,exclosure,none,none
1980,6,4,control,none,all_ants
1980,6,5,spectabs,none,none
1980,6,6,control,large_seeds,none
1980,6,7,removal,none,none
1980,6,8,control,none,rugosus
1980,6,9,control,mixed_seeds,none
1980,6,10,removal,none,all_ants
1980,6,11,control,none,none
1980,6,12,control,none,rugosus
1980,6,13,control,large_seeds,none
1980,6,14,control,none,none
1980,6,15,exclosure,none,rugosus
1980,6,16,removal,none,none
1980,6,17,control,none,all_ants
1980,6,18,control,mixed_pulse,none
1980,6,19,exclosure,none,none
1980,6,20,control,mixed_seeds,none
1980,6,21,exclosure,none,rugosus
1980,6,22,control,small_seeds,none
1980,6,23,removal,none,all_ants
1980,6,24,spectabs,none,none
1980,7,1,control,mixed_pulse,none
1980,7,2,control,small_seeds,none
1980,7,3,exclosure,none,none
1980,7,4,control,none,all_ants
1980,7,5,spectabs,none,none
1980,7,6,control,large_seeds,none
1980,7,7,removal,none,none
1980,7,8,control,none,rugosus
1980,7,9,control,mixed_seeds,none
1980,7,10,removal,none,all_ants
1980,7,11,control,none,none
1980,7,12,control,none,rugosus
1980,7,13,control,large_seeds,none
1980,7,14,control,none,none
1980,7,15,exclosure,none,rugosus
1980,7,16,removal,none,none
1980,7,17,control,none,all_ants
1980,7,18,control,mixed_pulse,none
1980,7,19,exclosure,none,none
1980,7,20,control,mixed_seeds,none
1980,7,21,exclosure,none,rugosus
1980,7,22,control,small_seeds,none
1980,7,23,removal,none,all_ants
1980,7,24,spectabs,none,none
