month,year,plot,stake,species,abundance
July,1988,6,11,sole xylo,1
July,1988,6,13,sole xylo,9
July,1988,6,15,sole xylo,20
July,1988,6,17,cono insa,1
July,1988,6,17,pogo mari,2
July,1988,6,17,sole sp,20
July,1988,6,22,phei xero,2
July,1988,6,22,sole xylo,20
July,1988,6,24,pogo mari,4
July,1988,6,26,sole xylo,8
July,1988,6,31,sole xylo,20
July,1988,6,33,phei xero,10
July,1988,6,33,sole xylo,5
July,1988,6,35,cono insa,1
July,1988,6,35,sole xylo,3
July,1988,6,37,novo cock,2
July,1988,6,37,phei xero,3
July,1988,6,37,sole xylo,10
July,1988,6,42,novo cock,1
July,1988,6,42,sole sp,12
July,1988,6,44,sole xylo,20
July,1988,6,46,sole xylo,15
July,1988,6,51,sole xylo,20
July,1988,6,53,sole xylo,15
July,1988,6,55,novo cock,3
July,1988,6,55,sole xylo,1
July,1988,6,57,sole xylo,15
July,1988,6,62,pogo mari,2
July,1988,6,62,sole xylo,15
July,1988,6,64,cono insa,1
July,1988,6,64,phei xero,2
July,1988,6,64,pogo dese,1
July,1988,6,64,sole sp,10
July,1988,6,66,novo cock,1
July,1988,6,66,sole sp,10
July,1988,6,71,sole xylo,25
July,1988,6,73,novo cock,4
July,1988,6,73,sole xylo,8
July,1988,6,75,sole xylo,5
July,1988,6,77,sole xylo,50
July,1988,7,11,novo cock,1
July,1988,7,13,sole sp,40
July,1988,7,15,cono insa,1
July,1988,7,15,novo cock,1
July,1988,7,15,sole sp,40
July,1988,7,17,phei xero,4
July,1988,7,17,sole sp,40
July,1988,7,22,cono insa,1
July,1988,7,22,irid prui,2
July,1988,7,22,phei xero,10
July,1988,7,24,sole sp,40
July,1988,7,26,novo cock,1
July,1988,7,26,sole sp,40
July,1988,7,31,novo cock,2
July,1988,7,31,phei sita,20
July,1988,7,31,pogo dese,10
July,1988,7,33,cono insa,1
July,1988,7,33,sole sp,40
July,1988,7,35,novo cock,1
July,1988,7,35,sole sp,40
July,1988,7,37,novo cock,1
July,1988,7,37,sole sp,40
July,1988,7,42,novo cock,1
July,1988,7,42,phei sita,25
July,1988,7,42,sole sp,20
July,1988,7,44,cono insa,1
July,1988,7,44,sole sp,100
July,1988,7,46,novo cock,1
July,1988,7,46,phei sita,10
July,1988,7,46,sole sp,50
July,1988,7,51,novo cock,20
July,1988,7,51,sole sp,30
July,1988,7,53,phei sita,10
July,1988,7,53,sole sp,5
July,1988,7,55,sole sp,30
July,1988,7,57,phei sita,2
July,1988,7,57,pogo dese,1
July,1988,7,57,sole sp,50
July,1988,7,62,novo cock,1
July,1988,7,62,phei sita,2
July,1988,7,62,sole xylo,20
July,1988,7,64,novo cock,1
July,1988,7,64,sole xylo,10
July,1988,7,66,phei sita,5
July,1988,7,66,sole xylo,10
July,1988,7,71,sole xylo,30
July,1988,7,73,cono insa,1
July,1988,7,73,sole xylo,10
July,1988,7,75,sole sp,50
July,1988,8,11,pogo mari,15
July,1988,8,11,sole sp,20
July,1988,8,13,phei sita,30
July,1988,8,13,phei xero,3
July,1988,8,13,pogo dese,10
July,1988,8,15,pogo dese,5
July,1988,8,15,sole xylo,20
July,1988,8,17,phei xero,3
July,1988,8,17,pogo dese,5
July,1988,8,17,pogo mari,2
July,1988,8,17,sole xylo,5
July,1988,8,22,irid prui,5
July,1988,8,22,phei sita,10
July,1988,8,22,phei xero,2
July,1988,8,22,pogo dese,1
July,1988,8,22,pogo mari,1
July,1988,8,22,sole sp,10
July,1988,8,24,phei dese,1
July,1988,8,24,phei xero,15
July,1988,8,24,pogo mari,2
July,1988,8,24,sole xylo,10
July,1988,8,26,cono insa,1
July,1988,8,26,pogo mari,5
July,1988,8,26,sole xylo,30
July,1988,8,31,pogo mari,30
July,1988,8,31,sole xylo,5
July,1988,8,33,phei xero,10
July,1988,8,33,pogo dese,1
July,1988,8,33,sole xylo,10
July,1988,8,35,cono insa,1
July,1988,8,35,novo cock,2
July,1988,8,35,phei xero,10
July,1988,8,35,pogo dese,2
July,1988,8,35,pogo mari,1
July,1988,8,35,sole sp,30
July,1988,8,37,pogo mari,30
July,1988,8,42,phei xero,50
July,1988,8,42,pogo dese,20
July,1988,8,44,pogo dese,1
July,1988,8,44,pogo mari,3
July,1988,8,44,sole xylo,50
July,1988,8,46,novo cock,1
July,1988,8,46,phei xero,20
July,1988,8,46,pogo dese,20
July,1988,8,46,pogo mari,1
July,1988,8,51,cono insa,1
July,1988,8,51,pogo mari,2
July,1988,8,51,sole xylo,50
July,1988,8,53,phei xero,5
July,1988,8,53,sole sp,15
July,1988,8,55,sole xylo,50
July,1988,8,57,myrm mimi,1
July,1988,8,57,phei sita,10
July,1988,8,57,sole xylo,30
July,1988,8,62,novo cock,1
July,1988,8,62,pogo mari,4
July,1988,8,62,sole xylo,30
July,1988,8,64,pogo dese,20
July,1988,8,64,sole sp,10
July,1988,8,66,pogo dese,5
July,1988,8,66,sole xylo,25
July,1988,8,71,novo cock,1
July,1988,8,71,pogo mari,5
July,1988,8,71,sole xylo,20
July,1988,8,73,novo cock,1
July,1988,8,73,pogo dese,1
July,1988,8,73,sole xylo,50
July,1988,8,75,novo cock,1
July,1988,8,75,pogo dese,3
July,1988,8,75,sole sp,30
July,1988,8,77,cono insa,1
July,1988,8,77,pogo dese,2
July,1988,8,77,sole xylo,50
July,1988,9,11,cono insa,1
July,1988,9,11,sole xylo,25
July,1988,9,13,phei xero,50
July,1988,9,15,cono insa,1
July,1988,9,15,phei xero,20
July,1988,9,15,pogo dese,1
July,1988,9,15,sole sp,10
July,1988,9,17,sole xylo,100
July,1988,9,22,phei sita,15
July,1988,9,22,pogo dese,5
July,1988,9,22,sole xylo,5
July,1988,9,24,phei xero,15
July,1988,9,24,pogo dese,20
July,1988,9,26,cono insa,1
July,1988,9,26,pogo dese,10
July,1988,9,26,sole xylo,25
July,1988,9,31,phei xero,20
July,1988,9,31,pogo dese,2
July,1988,9,31,sole xylo,5
July,1988,9,33,pogo dese,1
July,1988,9,33,sole xylo,20
July,1988,9,35,phei sita,5
July,1988,9,35,pogo dese,20
July,1988,9,37,pogo dese,3
July,1988,9,37,sole xylo,40
July,1988,9,42,phei xero,50
July,1988,9,42,pogo mari,20
July,1988,9,44,pogo mari,5
July,1988,9,44,sole xylo,30
July,1988,9,46,sole xylo,30
July,1988,9,51,pogo dese,40
July,1988,9,53,sole xylo,50
July,1988,9,55,cono insa,2
July,1988,9,55,irid prui,3
July,1988,9,55,pogo dese,20
July,1988,9,55,sole sp,10
July,1988,9,57,pogo dese,20
July,1988,9,57,sole xylo,40
July,1988,9,62,sole xylo,20
July,1988,9,64,phei sita,30
July,1988,9,64,pogo mari,10
July,1988,9,66,phei xero,1
July,1988,9,66,pogo dese,20
July,1988,9,71,pogo mari,10
July,1988,9,71,sole xylo,15
July,1988,9,73,phei xero,1
July,1988,9,73,pogo mari,15
July,1988,9,73,sole xylo,50
July,1988,9,75,pogo mari,20
July,1988,9,75,sole sp,30
July,1988,9,77,phei xero,3
July,1988,9,77,pogo dese,15
July,1988,9,77,sole sp,10
July,1988,10,11,phei xero,45
July,1988,10,13,phei xero,20
July,1988,10,15,cono insa,8
July,1988,10,15,phei xero,3
July,1988,10,17,cono insa,1
July,1988,10,17,irid prui,1
July,1988,10,17,phei xero,1
July,1988,10,17,sole xylo,2
July,1988,10,22,sole xylo,50
July,1988,10,24,cono insa,5
July,1988,10,24,phei xero,40
July,1988,10,26,cono insa,2
July,1988,10,26,phei xero,20
July,1988,10,26,sole xylo,2
July,1988,10,31,phei xero,40
July,1988,10,31,sole xylo,2
July,1988,10,33,irid prui,2
July,1988,10,33,phei xero,20
July,1988,10,33,pogo dese,4
July,1988,10,35,phei xero,1
July,1988,10,37,phei xero,35
July,1988,10,42,phei xero,10
July,1988,10,44,sole xylo,3
July,1988,10,46,phei xero,5
July,1988,10,51,pogo dese,1
July,1988,10,51,sole xylo,45
July,1988,10,53,phei xero,10
July,1988,10,55,sole xylo,20
July,1988,10,57,phei xero,20
July,1988,10,62,pogo dese,2
July,1988,10,62,sole xylo,5
July,1988,10,64,phei sita,6
July,1988,10,64,phei xero,3
July,1988,10,64,sole xylo,1
July,1988,10,66,sole xylo,30
July,1988,10,71,pogo dese,2
July,1988,10,71,sole xylo,15
July,1988,10,73,phei xero,10
July,1988,10,73,sole xylo,5
July,1988,10,75,cono insa,1
July,1988,10,75,irid prui,10
July,1988,10,75,phei xero,5
July,1988,10,77,phei xero,25
July,1988,11,11,phei xero,60
July,1988,11,15,phei sita,5
July,1988,11,15,phei xero,45
July,1988,11,17,irid prui,1
July,1988,11,17,phei xero,50
July,1988,11,17,pogo mari,1
July,1988,11,22,novo cock,2
July,1988,11,22,phei xero,10
July,1988,11,22,pogo mari,1
July,1988,11,22,sole xylo,10
July,1988,11,24,phei xero,25
July,1988,11,26,phei xero,10
July,1988,11,26,sole xylo,5
July,1988,11,31,phei xero,60
July,1988,11,33,cono insa,1
July,1988,11,33,novo cock,1
July,1988,11,33,phei xero,40
July,1988,11,35,cono insa,2
July,1988,11,35,irid prui,5
July,1988,11,35,phei sita,20
July,1988,11,37,sole xylo,25
July,1988,11,42,phei xero,35
July,1988,11,44,phei dese,15
July,1988,11,44,sole xylo,5
July,1988,11,46,irid prui,10
July,1988,11,46,phei xero,10
July,1988,11,51,cono insa,1
July,1988,11,51,phei sita,4
July,1988,11,51,phei xero,25
July,1988,11,53,phei xero,1
July,1988,11,55,cono insa,3
July,1988,11,55,phei xero,10
July,1988,11,57,phei dese,3
July,1988,11,57,phei xero,5
July,1988,11,57,pogo dese,3
July,1988,11,62,phei sita,5
July,1988,11,62,phei xero,5
July,1988,11,64,phei xero,50
July,1988,11,66,cono insa,2
July,1988,11,66,irid prui,1
July,1988,11,71,phei xero,45
July,1988,11,73,phei xero,55
July,1988,11,75,irid prui,5
July,1988,11,77,cono insa,3
July,1988,11,77,phei dese,5
July,1988,11,77,phei xero,5
July,1988,12,11,pogo mari,20
July,1988,12,13,pogo dese,5
July,1988,12,13,pogo mari,7
July,1988,12,15,sole xylo,20
July,1988,12,17,novo cock,1
July,1988,12,17,pogo mari,1
July,1988,12,22,phei sita,2
July,1988,12,22,pogo mari,5
July,1988,12,22,sole xylo,15
July,1988,12,24,phei xero,25
July,1988,12,24,pogo mari,1
July,1988,12,26,phei sita,3
July,1988,12,26,phei xero,25
July,1988,12,31,phei xero,30
July,1988,12,33,phei xero,25
July,1988,12,35,phei dese,5
July,1988,12,35,phei xero,30
July,1988,12,37,phei xero,45
July,1988,12,42,phei sita,15
July,1988,12,44,myrm mimi,1
July,1988,12,44,phei xero,2
July,1988,12,46,phei xero,2
July,1988,12,51,phei xero,10
July,1988,12,53,irid prui,15
July,1988,12,53,novo cock,1
July,1988,12,53,phei xero,5
July,1988,12,55,phei xero,20
July,1988,12,57,phei xero,3
July,1988,12,62,myrm mimi,1
July,1988,12,62,novo cock,1
July,1988,12,62,phei xero,10
July,1988,12,64,novo cock,1
July,1988,12,64,sole xylo,5
July,1988,12,66,novo cock,1
July,1988,12,66,phei sita,10
July,1988,12,71,phei xero,35
July,1988,12,73,novo cock,5
July,1988,12,73,phei xero,2
July,1988,12,75,novo cock,3
July,1988,12,75,phei sita,5
July,1988,12,77,phei xero,50
July,1988,13,11,phei xero,30
July,1988,13,11,sole xylo,3
July,1988,13,13,sole sp,40
July,1988,13,13,sole xylo,40
July,1988,13,15,phei sita,30
July,1988,13,15,sole xylo,20
July,1988,13,17,sole xylo,40
July,1988,13,22,phei xero,10
July,1988,13,22,sole xylo,30
July,1988,13,24,sole xylo,40
July,1988,13,26,phei xero,30
July,1988,13,26,sole xylo,10
July,1988,13,31,cono insa,4
July,1988,13,31,pogo mari,1
July,1988,13,31,sole xylo,20
July,1988,13,33,sole xylo,40
July,1988,13,35,cono insa,1
July,1988,13,35,pogo mari,1
July,1988,13,35,sole xylo,20
July,1988,13,37,sole xylo,50
July,1988,13,42,sole xylo,20
July,1988,13,44,phei xero,50
July,1988,13,46,phei xero,60
July,1988,13,46,sole sp,1
July,1988,13,51,phei xero,50
July,1988,13,53,cono insa,2
July,1988,13,53,sole xylo,30
July,1988,13,55,sole xylo,50
July,1988,13,57,sole xylo,30
July,1988,13,62,sole xylo,30
July,1988,13,64,sole xylo,40
July,1988,13,66,sole xylo,60
July,1988,13,71,phei sita,10
July,1988,13,71,sole xylo,30
July,1988,13,73,phei xero,10
July,1988,13,73,sole xylo,8
July,1988,13,75,sole xylo,30
July,1988,13,77,sole xylo,50
July,1988,14,11,phei xero,30
July,1988,14,11,sole xylo,30
July,1988,14,13,sole sp,40
July,1988,14,15,sole xylo,35
July,1988,14,17,sole xylo,30
July,1988,14,22,phei sita,50
July,1988,14,22,sole sp,5
July,1988,14,24,phei xero,20
July,1988,14,24,sole xylo,20
July,1988,14,26,sole xylo,40
July,1988,14,31,sole xylo,30
July,1988,14,33,phei xero,30
July,1988,14,33,sole sp,10
July,1988,14,35,phei xero,10
July,1988,14,35,sole xylo,20
July,1988,14,37,sole xylo,40
July,1988,14,42,phei xero,20
July,1988,14,44,phei xero,50
July,1988,14,44,sole sp,5
July,1988,14,51,sole xylo,30
July,1988,14,53,phei xero,50
July,1988,14,55,phei xero,60
July,1988,14,57,sole xylo,30
July,1988,14,62,sole xylo,45
July,1988,14,64,sole sp,5
July,1988,14,66,cono insa,3
July,1988,14,66,myrm mimi,1
July,1988,14,66,sole sp,20
July,1988,14,71,phei xero,40
July,1988,14,73,phei xero,20
July,1988,14,75,sole xylo,50
July,1988,14,77,phei xero,10
July,1988,14,77,sole xylo,15
July,1988,15,11,sole xylo,40
July,1988,15,13,sole xylo,25
July,1988,15,17,cono insa,1
July,1988,15,17,sole xylo,30
July,1988,15,22,sole xylo,30
July,1988,15,24,sole xylo,40
July,1988,15,26,sole xylo,50
July,1988,15,31,sole xylo,30
July,1988,15,33,sole xylo,40
July,1988,15,35,sole xylo,20
July,1988,15,37,cono insa,10
July,1988,15,37,sole xylo,10
July,1988,15,42,sole xylo,20
July,1988,15,44,sole xylo,50
July,1988,15,46,phei xero,40
July,1988,15,51,sole xylo,60
July,1988,15,53,sole xylo,50
July,1988,15,55,sole xylo,60
July,1988,15,57,sole xylo,20
July,1988,15,62,pogo mari,1
July,1988,15,62,sole xylo,25
July,1988,15,64,sole xylo,30
July,1988,15,66,sole xylo,30
July,1988,15,71,cono insa,5
July,1988,15,71,sole xylo,30
July,1988,15,73,sole xylo,60
July,1988,15,75,sole xylo,50
July,1988,15,77,sole xylo,30
July,1988,16,11,irid prui,5
July,1988,16,11,phei sita,3
July,1988,16,11,phei xero,1
July,1988,16,13,phei xero,10
July,1988,16,13,sole sp,15
July,1988,16,15,sole xylo,25
July,1988,16,17,phei xero,15
July,1988,16,22,sole sp,10
July,1988,16,24,sole sp,2
July,1988,16,26,novo cock,4
July,1988,16,26,phei xero,10
July,1988,16,31,sole sp,15
July,1988,16,33,phei xero,20
July,1988,16,35,sole xylo,15
July,1988,16,37,sole xylo,15
July,1988,16,42,phei xero,5
July,1988,16,42,sole xylo,10
July,1988,16,44,sole xylo,15
July,1988,16,46,sole xylo,10
July,1988,16,51,sole xylo,20
July,1988,16,53,sole xylo,20
July,1988,16,55,phei xero,10
July,1988,16,55,sole xylo,10
July,1988,16,57,sole sp,25
July,1988,16,62,sole xylo,30
July,1988,16,64,phei xero,10
July,1988,16,66,sole sp,15
July,1988,16,71,cono insa,5
July,1988,16,73,phei sita,5
July,1988,16,77,sole sp,1
July,1988,17,11,phei xero,20
July,1988,17,15,phei xero,40
July,1988,17,17,phei xero,50
July,1988,17,22,cono insa,1
July,1988,17,22,phei xero,30
July,1988,17,24,irid prui,1
July,1988,17,24,phei xero,10
July,1988,17,26,phei xero,20
July,1988,17,31,phei xero,15
July,1988,17,33,irid prui,1
July,1988,17,37,cono insa,1
July,1988,17,37,phei xero,25
July,1988,17,44,phei xero,10
July,1988,17,46,irid prui,1
July,1988,17,46,phei xero,3
July,1988,17,51,phei xero,40
July,1988,17,53,phei xero,40
July,1988,17,55,phei xero,10
July,1988,17,62,cono insa,2
July,1988,17,62,sole sp,3
July,1988,17,64,phei xero,1
July,1988,17,66,phei sita,10
July,1988,17,71,irid prui,1
July,1988,17,71,phei xero,5
July,1988,17,73,phei xero,20
July,1988,17,75,sole sp,3
July,1988,18,11,sole xylo,2
July,1988,18,13,phei xero,30
July,1988,18,13,pogo dese,1
July,1988,18,15,phei xero,35
July,1988,18,17,irid prui,1
July,1988,18,17,phei sita,10
July,1988,18,22,phei xero,15
July,1988,18,24,phei xero,20
July,1988,18,26,cono insa,1
July,1988,18,26,phei dese,7
July,1988,18,26,phei xero,15
July,1988,18,31,cono insa,1
July,1988,18,31,irid prui,2
July,1988,18,31,phei xero,1
July,1988,18,33,irid prui,1
July,1988,18,33,myrm mimi,1
July,1988,18,33,phei xero,30
July,1988,18,35,irid prui,3
July,1988,18,35,phei xero,30
July,1988,18,37,phei xero,40
July,1988,18,42,phei xero,35
July,1988,18,44,irid prui,1
July,1988,18,44,phei xero,10
July,1988,18,51,cono insa,1
July,1988,18,51,irid prui,1
July,1988,18,51,phei xero,5
July,1988,18,53,phei xero,15
July,1988,18,55,irid prui,1
July,1988,18,55,phei sita,3
July,1988,18,55,phei xero,5
July,1988,18,57,sole xylo,10
July,1988,18,62,irid prui,1
July,1988,18,64,cono insa,1
July,1988,18,64,phei sita,5
July,1988,18,66,phei dese,3
July,1988,18,71,cono insa,1
July,1988,18,71,sole sp,2
July,1988,18,73,phei xero,5
July,1988,18,75,phei xero,5
July,1988,18,77,phei xero,40
July,1988,19,11,phei xero,1
July,1988,19,11,sole sp,10
July,1988,19,13,phei sita,10
July,1988,19,15,novo cock,2
July,1988,19,15,phei xero,40
July,1988,19,17,phei sita,10
July,1988,19,22,phei xero,35
July,1988,19,24,phei xero,35
July,1988,19,26,sole xylo,15
July,1988,19,31,phei xero,20
July,1988,19,33,phei xero,20
July,1988,19,35,phei xero,5
July,1988,19,37,cono insa,2
July,1988,19,37,phei sita,2
July,1988,19,37,phei xero,10
July,1988,19,42,cono insa,2
July,1988,19,44,phei sita,10
July,1988,19,44,sole xylo,1
July,1988,19,46,novo cock,1
July,1988,19,46,phei sita,10
July,1988,19,51,phei xero,20
July,1988,19,53,phei xero,25
July,1988,19,55,phei xero,5
July,1988,19,57,cono insa,1
July,1988,19,57,phei xero,20
July,1988,19,62,novo cock,3
July,1988,19,62,sole xylo,2
July,1988,19,64,novo cock,2
July,1988,19,64,phei xero,10
July,1988,19,66,novo cock,4
July,1988,19,71,phei xero,5
July,1988,19,73,phei xero,25
July,1988,19,75,phei xero,2
July,1988,19,75,sole sp,1
July,1988,19,77,phei sita,3
July,1988,19,77,phei xero,5
July,1988,19,77,sole xylo,2
July,1988,20,11,phei dese,1
July,1988,20,11,phei xero,20
July,1988,20,13,novo cock,1
July,1988,20,13,phei xero,10
July,1988,20,15,phei xero,10
July,1988,20,17,phei xero,5
July,1988,20,22,phei xero,15
July,1988,20,24,phei xero,10
July,1988,20,24,sole xylo,1
July,1988,20,26,sole sp,20
July,1988,20,31,cono insa,1
July,1988,20,31,sole sp,1
July,1988,20,35,novo cock,1
July,1988,20,37,novo cock,1
July,1988,20,42,phei xero,20
July,1988,20,44,phei xero,5
July,1988,20,44,sole sp,3
July,1988,20,46,novo cock,3
July,1988,20,51,sole xylo,30
July,1988,20,53,phei xero,30
July,1988,20,55,phei sita,15
July,1988,20,55,phei xero,15
July,1988,20,57,phei sita,10
July,1988,20,62,phei xero,15
July,1988,20,64,sole sp,15
July,1988,20,66,sole xylo,20
July,1988,20,71,phei sita,15
July,1988,20,73,sole sp,15
July,1988,20,77,sole xylo,10
July,1988,21,11,phei xero,30
July,1988,21,13,phei xero,10
July,1988,21,17,phei xero,20
July,1988,21,22,phei xero,20
July,1988,21,24,phei xero,35
July,1988,21,26,phei xero,15
July,1988,21,31,phei xero,10
July,1988,21,33,phei xero,10
July,1988,21,35,phei xero,10
July,1988,21,37,phei xero,5
July,1988,21,37,sole sp,10
July,1988,21,42,phei xero,5
July,1988,21,44,phei xero,20
