day,month,year,period,plot,sampled,effort,qcflag
14,11,1977,5,7,1,49,1
14,11,1977,5,8,1,49,1
12,11,1977,5,9,1,49,1
14,11,1977,5,10,1,49,1
13,11,1977,5,11,1,49,1
14,11,1977,5,12,1,49,1
12,11,1977,5,13,1,49,1
13,11,1977,5,14,1,49,1
13,11,1977,5,15,1,49,1
14,11,1977,5,16,1,49,1
13,11,1977,5,17,1,49,1
12,11,1977,5,18,1,49,1
13,11,1977,5,19,1,49,1
12,11,1977,5,20,1,49,1
13,11,1977,5,21,1,49,1
12,11,1977,5,22,1,49,1
14,11,1977,5,23,1,49,1
12,11,1977,5,24,0,0,1
10,12,1977,6,1,1,49,1
10,12,1977,6,2,1,49,1
11,12,1977,6,3,1,49,1
11,12,1977,6,4,1,49,1
11,12,1977,6,5,1,49,1
10,12,1977,6,6,1,49,1
10,12,1977,6,7,1,49,1
11,12,1977,6,8,1,49,1
10,12,1977,6,9,1,49,1
10,12,1977,6,10,1,49,1
11,12,1977,6,11,1,49,1
11,12,1977,6,12,1,49,1
10,12,1977,6,13,1,49,1
11,12,1977,6,14,1,49,1
11,12,1977,6,15,1,49,1
10,12,1977,6,16,1,49,1
11,12,1977,6,17,1,49,1
10,12,1977,6,18,1,49,1
10,12,1977,6,19,1,49,1
10,12,1977,6,20,1,49,1
11,12,1977,6,21,1,49,1
10,12,1977,6,22,1,49,1
10,12,1977,6,23,1,49,1
10,12,1977,6,24,0,0,1
9,1,1978,7,1,1,49,1
8,1,1978,7,2,1,49,1
8,1,1978,7,3,1,49,1
9,1,1978,7,4,1,49,1
10,1,1978,7,5,1,49,1
8,1,1978,7,6,1,49,1
8,1,1978,7,7,1,49,1
9,1,1978,7,8,1,49,1
8,1,1978,7,9,1,49,1
10,1,1978,7,10,1,49,1
9,1,1978,7,11,1,49,1
10,1,1978,7,12,1,49,1
8,1,1978,7,13,1,49,1
9,1,1978,7,14,1,49,1
10,1,1978,7,15,1,49,1
10,1,1978,7,16,1,49,1
9,1,1978,7,17,1,49,1
10,1,1978,7,18,1,49,1
9,1,1978,7,19,1,49,1
8,1,1978,7,20,1,49,1
10,1,1978,7,21,1,49,1
8,1,1978,7,22,1,49,1
9,1,1978,7,23,1,49,1
9,1,1978,7,24,0,0,1
20,2,1978,8,1,1,49,1
18,2,1978,8,2,1,49,1
18,2,1978,8,3,1,49,1
19,2,1978,8,4,1,49,1
19,2,1978,8,5,1,49,1
18,2,1978,8,6,1,49,1
19,2,1978,8,7,1,49,1
19,2,1978,8,8,1,49,1
18,2,1978,8,9,1,49,1
19,2,1978,8,10,1,49,1
19,2,1978,8,11,1,49,1
20,2,1978,8,12,1,49,1
18,2,1978,8,13,1,49,1
19,2,1978,8,14,1,49,1
20,2,1978,8,15,1,49,1
20,2,1978,8,16,1,49,1
19,2,1978,8,17,1,49,1
20,2,1978,8,18,1,49,1
18,2,1978,8,19,1,49,1
18,2,1978,8,20,1,49,1
19,2,1978,8,21,1,49,1
18,2,1978,8,22,1,49,1
18,2,1978,8,23,1,49,1
20,2,1978,8,24,0,0,1
13,3,1978,9,1,1,49,1
11,3,1978,9,2,1,49,1
11,3,1978,9,3,1,49,1
12,3,1978,9,4,1,49,1
12,3,1978,9,5,1,49,1
11,3,1978,9,6,1,49,1
13,3,1978,9,7,1,49,1
13,3,1978,9,8,1,49,1
11,3,1978,9,9,1,49,1
12,3,1978,9,10,1,49,1
12,3,1978,9,11,1,49,1
13,3,1978,9,12,1,49,1
11,3,1978,9,13,1,49,1
12,3,1978,9,14,1,49,1
13,3,1978,9,15,1,49,1
13,3,1978,9,16,1,49,1
12,3,1978,9,17,1,49,1
13,3,1978,9,18,1,49,1
13,3,1978,9,19,1,49,1
11,3,1978,9,20,1,49,1
12,3,1978,9,21,1,49,1
11,3,1978,9,22,1,49,1
11,3,1978,9,23,1,49,1
13,3,1978,9,24,0,0,1
10,4,1978,10,1,1,49,1
8,4,1978,10,2,1,49,1
8,4,1978,10,3,1,49,1
9,4,1978,10,4,1,49,1
9,4,1978,10,5,1,49,1
8,4,1978,10,6,1,49,1
10,4,1978,10,7,1,49,1
9,4,1978,10,8,1,49,1
8,4,1978,10,9,1,49,1
10,4,1978,10,10,1,49,1
9,4,1978,10,11,1,49,1
10,4,1978,10,12,1,49,1
8,4,1978,10,13,1,49,1
9,4,1978,10,14,1,49,1
10,4,1978,10,15,1,49,1
10,4,1978,10,16,1,49,1
9,4,1978,10,17,1,49,1
10,4,1978,10,18,1,49,1
9,4,1978,10,19,1,49,1
8,4,1978,10,20,1,49,1
8,4,1978,10,21,1,49,1
8,4,1978,10,22,1,49,1
9,4,1978,10,23,1,49,1
10,4,1978,10,24,0,0,1
19,5,1978,11,1,1,49,1
19,5,1978,11,2,1,49,1
18,5,1978,11,3,1,49,1
18,5,1978,11,4,1,49,1
17,5,1978,11,5,1,49,1
17,5,1978,11,6,1,49,1
19,5,1978,11,7,1,49,1
19,5,1978,11,8,1,49,1
19,5,1978,11,9,1,49,1
19,5,1978,11,10,1,49,1
18,5,1978,11,11,1,49,1
17,5,1978,11,12,1,49,1
19,5,1978,11,13,1,49,1
18,5,1978,11,14,1,49,1
18,5,1978,11,15,1,49,1
18,5,1978,11,16,1,49,1
18,5,1978,11,17,1,49,1
18,5,1978,11,18,1,49,1
17,5,1978,11,19,1,49,1
17,5,1978,11,20,1,49,1
17,5,1978,11,21,1,49,1
17,5,1978,11,22,1,49,1
17,5,1978,11,23,1,49,1
19,5,1978,11,24,0,0,1
9,6,1978,12,1,1,49,1
9,6,1978,12,2,1,49,1
9,6,1978,12,3,1,49,1
9,6,1978,12,4,1,49,1
9,6,1978,12,5,1,49,1
9,6,1978,12,6,1,49,1
8,6,1978,12,7,1,49,1
8,6,1978,12,8,1,49,1
8,6,1978,12,9,1,49,1
8,6,1978,12,10,1,49,1
8,6,1978,12,11,1,49,1
8,6,1978,12,12,1,49,1
9,6,1978,12,13,1,49,1
9,6,1978,12,14,1,49,1
9,6,1978,12,15,1,49,1
9,6,1978,12,16,1,49,1
8,6,1978,12,17,1,49,1
9,6,1978,12,18,1,49,1
8,6,1978,12,19,1,49,1
8,6,1978,12,20,1,49,1
8,6,1978,12,21,1,49,1
8,6,1978,12,22,1,49,1
8,6,1978,12,23,1,49,1
9,6,1978,12,24,0,0,1
8,7,1978,13,1,1,49,1
7,7,1978,13,2,1,49,1
8,7,1978,13,3,1,49,1
8,7,1978,13,4,1,49,1
8,7,1978,13,5,1,49,1
7,7,1978,13,6,1,49,1
7,7,1978,13,7,1,49,1
7,7,1978,13,8,1,49,1
7,7,1978,13,9,1,49,1
7,7,1978,13,10,1,49,1
7,7,1978,13,11,1,49,1
7,7,1978,13,12,1,49,1
8,7,1978,13,13,1,49,1
8,7,1978,13,14,1,49,1
8,7,1978,13,15,1,49,1
8,7,1978,13,16,1,49,1
7,7,1978,13,17,1,49,1
8,7,1978,13,18,1,49,1
7,7,1978,13,19,1,49,1
7,7,1978,13,20,1,49,1
7,7,1978,13,21,1,49,1
7,7,1978,13,22,1,49,1
7,7,1978,13,23,1,49,1
8,7,1978,13,24,0,0,1
5,8,1978,14,1,1,49,1
5,8,1978,14,2,1,49,1
5,8,1978,14,3,1,49,1
5,8,1978,14,4,1,49,1
5,8,1978,14,5,1,49,1
5,8,1978,14,6,1,49,1
5,8,1978,14,7,1,49,1
4,8,1978,14,8,1,49,1
4,8,1978,14,9,1,49,1
4,8,1978,14,10,1,49,1
4,8,1978,14,11,1,49,1
4,8,1978,14,12,1,49,1
5,8,1978,14,13,1,49,1
5,8,1978,14,14,1,49,1
5,8,1978,14,15,1,49,1
5,8,1978,14,16,1,49,1
4,8,1978,14,17,1,49,1
5,8,1978,14,18,1,49,1
4,8,1978,14,19,1,49,1
4,8,1978,14,20,1,49,1
4,8,1978,14,21,1,49,1
4,8,1978,14,22,1,49,1
5,8,1978,14,23,1,49,1
5,8,1978,14,24,0,0,1
4,9,1978,15,1,1,49,1
4,9,1978,15,2,1,49,1
4,9,1978,15,3,1,49,1
4,9,1978,15,4,1,49,1
4,9,1978,15,5,1,49,1
4,9,1978,15,6,1,49,1
3,9,1978,15,7,1,49,1
3,9,1978,15,8,1,49,1
3,9,1978,15,9,1,49,1
3,9,1978,15,10,1,49,1
3,9,1978,15,11,1,49,1
3,9,1978,15,12,1,49,1
4,9,1978,15,13,1,49,1
4,9,1978,15,14,1,49,1
4,9,1978,15,15,1,49,1
4,9,1978,15,16,1,49,1
3,9,1978,15,17,1,49,1
4,9,1978,15,18,1,49,1
3,9,1978,15,19,1,49,1
3,9,1978,15,20,1,49,1
3,9,1978,15,21,1,49,1
3,9,1978,15,22,1,49,1
3,9,1978,15,23,1,49,1
4,9,1978,15,24,0,0,1
6,10,1978,16,1,1,49,1
8,10,1978,16,2,1,49,1
8,10,1978,16,3,1,49,1
8,10,1978,16,4,1,49,1
8,10,1978,16,5,1,49,1
8,10,1978,16,6,1,49,1
7,10,1978,16,7,1,49,1
7,10,1978,16,8,1,49,1
7,10,1978,16,9,1,49,1
7,10,1978,16,10,1,49,1
7,10,1978,16,11,1,49,1
7,10,1978,16,12,1,49,1
8,10,1978,16,13,1,49,1
8,10,1978,16,14,1,49,1
8,10,1978,16,15,1,49,1
8,10,1978,16,16,1,49,1
7,10,1978,16,17,1,49,1
8,10,1978,16,18,1,49,1
8,10,1978,16,19,1,49,1
7,10,1978,16,20,1,49,1
7,10,1978,16,21,1,49,1
7,10,1978,16,22,1,49,1
7,10,1978,16,23,1,49,1
6,10,1978,16,24,0,0,1
4,11,1978,17,1,1,49,1
5,11,1978,17,2,1,49,1
5,11,1978,17,3,1,49,1
5,11,1978,17,4,1,49,1
5,11,1978,17,5,1,49,1
5,11,1978,17,6,1,49,1
5,11,1978,17,7,1,49,1
4,11,1978,17,8,1,49,1
4,11,1978,17,9,1,49,1
4,11,1978,17,10,1,49,1
4,11,1978,17,11,1,49,1
4,11,1978,17,12,1,49,1
5,11,1978,17,13,1,49,1
5,11,1978,17,14,1,49,1
5,11,1978,17,15,1,49,1
5,11,1978,17,16,1,49,1
4,11,1978,17,17,1,49,1
5,11,1978,17,18,1,49,1
4,11,1978,17,19,1,49,1
4,11,1978,17,20,1,49,1
4,11,1978,17,21,1,49,1
4,11,1978,17,22,1,49,1
4,11,1978,17,23,1,49,1
4,11,1978,17,24,0,0,1
2,12,1978,18,1,1,49,1
3,12,1978,18,2,1,49,1
3,12,1978,18,3,1,49,1
3,12,1978,18,4,1,49,1
3,12,1978,18,5,1,49,1
3,12,1978,18,6,1,49,1
3,12,1978,18,7,1,49,1
2,12,1978,18,8,1,49,1
2,12,1978,18,9,1,49,1
2,12,1978,18,10,1,49,1
2,12,1978,18,11,1,49,1
2,12,1978,18,12,1,49,1
3,12,1978,18,13,1,49,1
3,12,1978,18,14,1,49,1
3,12,1978,18,15,1,49,1
3,12,1978,18,16,1,49,1
2,12,1978,18,17,1,49,1
3,12,1978,18,18,1,49,1
2,12,1978,18,19,1,49,1
2,12,1978,18,20,1,49,1
2,12,1978,18,21,1,49,1
2,12,1978,18,22,1,49,1
2,12,1978,18,23,1,49,1
2,12,1978,18,24,0,0,1
28,1,1979,19,1,1,49,1
29,1,1979,19,2,1,49,1
29,1,1979,19,3,1,49,1
29,1,1979,19,4,1,49,1
29,1,1979,19,5,1,49,1
29,1,1979,19,6,1,49,1
29,1,1979,19,7,1,49,1
28,1,1979,19,8,1,49,1
28,1,1979,19,9,1,49,1
28,1,1979,19,10,1,49,1
28,1,1979,19,11,1,49,1
28,1,1979,19,12,1,49,1
29,1,1979,19,13,1,49,1
29,1,1979,19,14,1,49,1
29,1,1979,19,15,1,49,1
29,1,1979,19,16,1,49,1
28,1,1979,19,17,1,49,1
29,1,1979,19,18,1,49,1
28,1,1979,19,19,1,49,1
28,1,1979,19,20,1,49,1
28,1,1979,19,21,1,49,1
28,1,1979,19,22,1,49,1
28,1,1979,19,23,1,49,1
28,1,1979,19,24,0,0,1
25,2,1979,20,1,1,49,1
25,2,1979,20,2,1,49,1
25,2,1979,20,3,1,49,1
25,2,1979,20,4,1,49,1
25,2,1979,20,5,1,49,1
25,2,1979,20,6,1,49,1
24,2,1979,20,7,1,49,1
24,2,1979,20,8,1,49,1
24,2,1979,20,9,1,49,1
24,2,1979,20,10,1,49,1
24,2,1979,20,11,1,49,1
24,2,1979,20,12,1,49,1
25,2,1979,20,13,1,49,1
25,2,1979,20,14,1,49,1
25,2,1979,20,15,1,49,1
25,2,1979,20,16,1,49,1
24,2,1979,20,17,1,49,1
25,2,1979,20,18,1,49,1
24,2,1979,20,19,1,49,1
24,2,1979,20,20,1,49,1
24,2,1979,20,21,1,49,1
24,2,1979,20,22,1,49,1
24,2,1979,20,23,1,49,1
25,2,1979,20,24,0,0,1
31,3,1979,21,1,1,49,1
31,3,1979,21,2,1,49,1
31,3,1979,21,3,1,49,1
31,3,1979,21,4,1,49,1
31,3,1979,21,5,1,49,1
31,3,1979,21,6,1,49,1
31,3,1979,21,7,1,49,1
31,3,1979,21,8,1,49,1
31,3,1979,21,9,1,49,1
31,3,1979,21,10,1,49,1
31,3,1979,21,11,1,49,1
31,3,1979,21,12,1,49,1
31,3,1979,21,13,1,49,1
31,3,1979,21,14,1,49,1
31,3,1979,21,15,1,49,1
31,3,1979,21,16,1,49,1
31,3,1979,21,17,1,49,1
31,3,1979,21,18,1,49,1
31,3,1979,21,19,1,49,1
31,3,1979,21,20,1,49,1
31,3,1979,21,21,1,49,1
31,3,1979,21,22,1,49,1
31,3,1979,21,23,1,49,1
31,3,1979,21,24,0,0,1
28,4,1979,22,1,1,49,1
29,4,1979,22,2,1,49,1
29,4,1979,22,3,1,49,1
29,4,1979,22,4,1,49,1
29,4,1979,22,5,1,49,1
29,4,1979,22,6,1,49,1
29,4,1979,22,7,1,49,1
28,4,1979,22,8,1,49,1
28,4,1979,22,9,1,49,1
28,4,1979,22,10,1,49,1
28,4,1979,22,11,1,49,1
28,4,1979,22,12,1,49,1
29,4,1979,22,13,1,49,1
29,4,1979,22,14,1,49,1
29,4,1979,22,15,1,49,1
29,4,1979,22,16,1,49,1
28,4,1979,22,17,1,49,1
29,4,1979,22,18,1,49,1
28,4,1979,22,19,1,49,1
28,4,1979,22,20,1,49,1
28,4,1979,22,21,1,49,1
28,4,1979,22,22,1,49,1
28,4,1979,22,23,1,49,1
28,4,1979,22,24,0,0,1
30,5,1979,23,1,1,49,1
30,5,1979,23,2,1,49,1
30,5,1979,23,3,1,49,1
30,5,1979,23,4,1,49,1
30,5,1979,23,5,1,49,1
30,5,1979,23,6,1,49,1
30,5,1979,23,7,1,49,1
29,5,1979,23,8,1,49,1
29,5,1979,23,9,1,49,1
29,5,1979,23,10,1,49,1
29,5,1979,23,11,1,49,1
29,5,1979,23,12,1,49,1
30,5,1979,23,13,1,49,1
30,5,1979,23,14,1,49,1
30,5,1979,23,15,1,49,1
30,5,1979,23,16,1,49,1
29,5,1979,23,17,1,49,1
30,5,1979,23,18,1,49,1
29,5,1979,23,19,1,49,1
29,5,1979,23,20,1,49,1
29,5,1979,23,21,1,49,1
29,5,1979,23,22,1,49,1
30,5,1979,23,23,1,49,1
30,5,1979,23,24,0,0,1
4,7,1979,24,1,1,49,1
4,7,1979,24,2,1,49,1
4,7,1979,24,3,1,49,1
4,7,1979,24,4,1,49,1
4,7,1979,24,5,1,49,1
4,7,1979,24,6,1,49,1
4,7,1979,24,7,1,49,1
3,7,1979,24,8,1,49,1
3,7,1979,24,9,1,49,1
3,7,1979,24,10,1,49,1
3,7,1979,24,11,1,49,1
3,7,1979,24,12,1,49,1
4,7,1979,24,13,1,49,1
4,7,1979,24,14,1,49,1
4,7,1979,24,15,1,49,1
4,7,1979,24,16,1,49,1
3,7,1979,24,17,1,49,1
4,7,1979,24,18,1,49,1
4,7,1979,24,19,1,49,1
3,7,1979,24,20,1,49,1
3,7,1979,24,21,1,49,1
3,7,1979,24,22,1,49,1
3,7,1979,24,23,1,49,1
4,7,1979,24,24,0,0,1
24,7,1979,25,1,1,49,1
25,7,1979,25,2,1,49,1
26,7,1979,25,3,1,49,1
26,7,1979,25,4,1,49,1
26,7,1979,25,5,1,49,1
26,7,1979,25,6,1,49,1
24,7,1979,25,7,1,49,1
25,7,1979,25,8,1,49,1
26,7,1979,25,9,1,49,1
26,7,1979,25,10,1,49,1
25,7,1979,25,11,1,49,1
25,7,1979,25,12,1,49,1
24,7,1979,25,13,1,49,1
25,7,1979,25,14,1,49,1
26,7,1979,25,15,1,49,1
25,7,1979,25,16,1,49,1
25,7,1979,25,17,1,49,1
25,7,1979,25,18,1,49,1
24,7,1979,25,19,1,49,1
24,7,1979,25,20,1,49,1
24,7,1979,25,21,1,49,1
24,7,1979,25,22,1,49,1
24,7,1979,25,23,1,49,1
24,7,1979,25,24,0,0,1
23,8,1979,26,1,1,49,1
23,8,1979,26,2,1,49,1
23,8,1979,26,3,1,49,1
23,8,1979,26,4,1,49,1
23,8,1979,26,5,1,49,1
23,8,1979,26,6,1,49,1
22,8,1979,26,7,1,49,1
22,8,1979,26,8,1,49,1
23,8,1979,26,9,1,49,1
23,8,1979,26,10,0,0,1
22,8,1979,26,11,1,49,1
22,8,1979,26,12,1,49,1
21,8,1979,26,13,1,49,1
21,8,1979,26,14,1,49,1
22,8,1979,26,15,1,49,1
22,8,1979,26,16,1,49,1
22,8,1979,26,17,1,49,1
22,8,1979,26,18,1,49,1
21,8,1979,26,19,1,49,1
21,8,1979,26,20,1,49,1
21,8,1979,26,21,1,49,1
21,8,1979,26,22,1,49,1
21,8,1979,26,23,1,49,1
21,8,1979,26,24,1,49,1
23,9,1979,27,1,1,49,1
23,9,1979,27,2,1,49,1
23,9,1979,27,3,1,49,1
23,9,1979,27,4,1,49,1
23,9,1979,27,5,1,49,1
23,9,1979,27,6,1,49,1
22,9,1979,27,7,1,49,1
22,9,1979,27,8,1,49,1
22,9,1979,27,9,1,49,1
22,9,1979,27,10,1,49,1
22,9,1979,27,11,1,49,1
22,9,1979,27,12,1,49,1
23,9,1979,27,13,1,49,1
23,9,1979,27,14,1,49,1
23,9,1979,27,15,1,49,1
23,9,1979,27,16,1,49,1
22,9,1979,27,17,1,49,1
23,9,1979,27,18,1,49,1
22,9,1979,27,19,1,49,1
22,9,1979,27,20,1,49,1
22,9,1979,27,21,1,49,1
22,9,1979,27,22,1,49,1
22,9,1979,27,23,1,49,1
23,9,1979,27,24,1,49,1
25,10,1979,28,1,1,49,1
25,10,1979,28,2,1,49,1
25,10,1979,28,3,1,49,1
25,10,1979,28,4,1,49,1
25,10,1979,28,5,1,49,1
25,10,1979,28,6,1,49,1
24,10,1979,28,7,1,49,1
24,10,1979,28,8,1,49,1
24,10,1979,28,9,1,49,1
24,10,1979,28,10,1,49,1
24,10,1979,28,11,1,49,1
24,10,1979,28,12,1,49,1
25,10,1979,28,13,1,49,1
25,10,1979,28,14,1,49,1
25,10,1979,28,15,1,49,1
25,10,1979,28,16,1,49,1
24,10,1979,28,17,1,49,1
25,10,1979,28,18,1,49,1
24,10,1979,28,19,1,49,1
24,10,1979,28,20,1,49,1
24,10,1979,28,21,1,49,1
24,10,1979,28,22,1,49,1
24,10,1979,28,23,1,49,1
25,10,1979,28,24,1,49,1
17,11,1979,29,1,1,49,1
17,11,1979,29,2,1,49,1
17,11,1979,29,3,1,49,1
17,11,1979,29,4,1,49,1
17,11,1979,29,5,1,49,1
17,11,1979,29,6,1,49,1
18,11,1979,29,7,1,49,1
18,11,1979,29,8,1,49,1
18,11,1979,29,9,1,49,1
18,11,1979,29,10,1,49,1
18,11,1979,29,11,1,49,1
18,11,1979,29,12,1,49,1
17,11,1979,29,13,1,49,1
17,11,1979,29,14,1,49,1
17,11,1979,29,15,1,49,1
17,11,1979,29,16,1,49,1
17,11,1979,29,17,1,49,1
17,11,1979,29,18,1,49,1
18,11,1979,29,19,1,49,1
18,11,1979,29,20,1,49,1
18,11,1979,29,21,1,49,1
18,11,1979,29,22,1,49,1
18,11,1979,29,23,1,49,1
17,11,1979,29,24,1,49,1
16,1,1980,30,1,1,49,1
16,1,1980,30,2,1,49,1
16,1,1980,30,3,1,49,1
16,1,1980,30,4,1,49,1
16,1,1980,30,5,1,49,1
16,1,1980,30,6,1,49,1
15,1,1980,30,7,1,49,1
15,1,1980,30,8,1,49,1
15,1,1980,30,9,1,49,1
15,1,1980,30,10,1,49,1
15,1,1980,30,11,1,49,1
15,1,1980,30,12,1,49,1
16,1,1980,30,13,1,49,1
16,1,1980,30,14,1,49,1
16,1,1980,30,15,1,49,1
16,1,1980,30,16,1,49,1
15,1,1980,30,17,1,49,1
15,1,1980,30,18,1,49,1
15,1,1980,30,19,1,49,1
15,1,1980,30,20,1,49,1
15,1,1980,30,21,1,49,1
15,1,1980,30,22,1,49,1
15,1,1980,30,23,1,49,1
16,1,1980,30,24,1,49,1
25,2,1980,31,1,1,49,1
25,2,1980,31,2,1,49,1
25,2,1980,31,3,1,49,1
25,2,1980,31,4,1,49,1
25,2,1980,31,5,1,49,1
25,2,1980,31,6,1,49,1
24,2,1980,31,7,1,49,1
24,2,1980,31,8,1,49,1
24,2,1980,31,9,1,49,1
24,2,1980,31,10,1,49,1
24,2,1980,31,11,1,49,1
24,2,1980,31,12,1,49,1
25,2,1980,31,13,1,49,1
25,2,1980,31,14,1,49,1
25,2,1980,31,15,1,49,1
25,2,1980,31,16,1,49,1
24,2,1980,31,17,1,49,1
24,2,1980,31,18,1,49,1
24,2,1980,31,19,1,49,1
24,2,1980,31,20,1,49,1
24,2,1980,31,21,1,49,1
24,2,1980,31,22,1,49,1
24,2,1980,31,23,1,49,1
25,2,1980,31,24,1,49,1
21,3,1980,32,1,1,49,1
22,3,1980,32,2,1,49,1
22,3,1980,32,3,1,49,1
22,3,1980,32,4,1,49,1
22,3,1980,32,5,1,49,1
22,3,1980,32,6,1,49,1
21,3,1980,32,7,1,49,1
21,3,1980,32,8,1,49,1
21,3,1980,32,9,1,49,1
21,3,1980,32,10,1,49,1
21,3,1980,32,11,1,49,1
21,3,1980,32,12,1,49,1
22,3,1980,32,13,1,49,1
22,3,1980,32,14,1,49,1
22,3,1980,32,15,1,49,1
22,3,1980,32,16,1,49,1
21,3,1980,32,17,1,49,1
22,3,1980,32,18,1,49,1
21,3,1980,32,19,1,49,1
21,3,1980,32,20,1,49,1
21,3,1980,32,21,1,49,1
21,3,1980,32,22,1,49,1
21,3,1980,32,23,1,49,1
22,3,1980,32,24,1,49,1
17,4,1980,33,1,1,49,1
18,4,1980,33,2,1,49,1
18,4,1980,33,3,1,49,1
18,4,1980,33,4,1,49,1
18,4,1980,33,5,1,49,1
18,4,1980,33,6,1,49,1
17,4,1980,33,7,1,49,1
17,4,1980,33,8,1,49,1
17,4,1980,33,9,1,49,1
17,4,1980,33,10,1,49,1
17,4,1980,33,11,1,49,1
17,4,1980,33,12,1,49,1
18,4,1980,33,13,1,49,1
18,4,1980,33,14,1,49,1
18,4,1980,33,15,1,49,1
18,4,1980,33,16,1,49,1
17,4,1980,33,17,1,49,1
18,4,1980,33,18,1,49,1
17,4,1980,33,19,1,49,1
17,4,1980,33,20,1,49,1
17,4,1980,33,21,1,49,1
17,4,1980,33,22,1,49,1
17,4,1980,33,23,1,49,1
18,4,1980,33,24,1,49,1
17,5,1980,34,1,1,49,1
18,5,1980,34,2,1,49,1
18,5,1980,34,3,1,49,1
18,5,1980,34,4,1,49,1
18,5,1980,34,5,1,49,1
18,5,1980,34,6,1,49,1
17,5,1980,34,7,1,49,1
18,5,1980,34,8,1,49,1
17,5,1980,34,9,1,49,1
17,5,1980,34,10,1,49,1
17,5,1980,34,11,1,49,1
17,5,1980,34,12,1,49,1
18,5,1980,34,13,1,49,1
18,5,1980,34,14,1,49,1
18,5,1980,34,15,1,49,1
18,5,1980,34,16,1,49,1
17,5,1980,34,17,1,49,1
18,5,1980,34,18,1,49,1
17,5,1980,34,19,1,49,1
17,5,1980,34,20,1,49,1
17,5,1980,34,21,1,49,1
17,5,1980,34,22,1,49,1
17,5,1980,34,23,1,49,1
17,5,1980,34,24,1,49,1
23,6,1980,35,1,1,49,1
23,6,1980,35,2,1,49,1
23,6,1980,35,3,1,49,1
23,6,1980,35,4,1,49,1
