"","speciescode","genus","altgenus","species","altspecies","subspecies","commonname","family","duration","community"
"65","cryp angu","Cryptantha","","angustifolia","","","Bristlelobe cryptantha","Boraginaceae","Annual","Winter Annual"
"66","cryp sp","Cryptantha","","sp.","","","Unknown","Boraginaceae","Annual","Winter Annual"
"67","cryp sp2","Cryptantha","","sp.","","distinct from cryp sp","Unknown","Boraginaceae","Annual","Winter Annual"
"68","lapp redo","Lappula","","occidentalis","redowskii","","Flatspine stickseed","Boraginaceae","Annual","Winter Annual"
"69","nama hisp","Nama","","hispidum","","","Bristly nama","Boraginaceae","Annual","Winter Annual"
"70","pect recu","Pectocarya","","recurvata","","","Curvenut combseed","Boraginaceae","Annual","Winter Annual"
"71","pect sp","Pectocarya","","sp.","","","Unknown","Boraginaceae","Annual","Winter Annual"
"72","phac ariz","Phacelia","","arizonica","","","Arizona scorpionweed","Boraginaceae","Annual","Winter Annual"
"73","plag ariz","Plagiobothrys","","arizonicus","","","Arizona Popcornflower","Boraginaceae","Annual","Winter Annual"
"74","chor tene","Chorispora","","tenella","","","Crossflower","Brassicaceae","Annual","Winter Annual"
"75","desc obtu","Descurainia","","obtusa","","","Blunt tansymustard","Brassicaceae","Annual","Winter Annual"
"76","desc pinn","Descurainia","","pinnata","","","Western tansymustard","Brassicaceae","Annual","Winter Annual"
"77","desc sp","Descurainia","","sp.","","","Unknown","Brassicaceae","Annual","Winter Annual"
"78","dith wisl","Dimorphocarpa","Dithyrea","wislizeni","","","Spectaclepod","Brassicaceae","Annual","Summer and Winter Annual"
"79","lepi lasi","Lepidium","","lasiocarpum","","","Shaggyfruit pepperweed","Brassicaceae","Annual","Winter Annual"
"80","lepi sp","Lepidium","","sp.","","","Unknown","Brassicaceae","Annual","Winter Annual"
"81","lesq gord","Physaria","Lesquerella","gordoni","","","Bladderpod","Brassicaceae","Annual","Winter Annual"
"82","sisy irio","Sisymbrium","","irio","","","London rocket","Brassicaceae","Annual","Winter Annual"
"83","unkn must","Unknown","","mustard","","","Unknown","Brassicaceae","Annual","Winter Annual"
"84","cyli fulg","Cylindropuntia","","fulgida","","","Jumping Cholla","Cactaceae","Perennial","Shrub"
"85","cyli sp","Cylindropuntia","","sp.","","","Unknown","Cactaceae","Perennial","Shrub"
"86","opun basi","Opuntia","","basilaris","","","Beavertail cactus","Cactaceae","Perennial","Shrub"
"87","opun poly","Opuntia","","polyacantha","","","Plains pricklypear","Cactaceae","Perennial","Shrub"
"88","opun sp","Opuntia","","sp.","","","Unknown","Cactaceae","Perennial","Shrub"
"89","comm erec","Commelina","","erecta","","","Whitemouth dayflower","Commelinaceae","Perennial","Shrub"
"90","cusc mitr","Cuscuta","","mitriformis","","","Cochise Dodder","Convolvulaceae","Perennial","Perennial Forb"
"91","cusc sp","Cuscuta","","sp.","","","Unknown","Convolvulaceae","Annual","Summer Annual"
"92","cusc tube","Cuscuta","","tuberculata","","","Tubercle Dodder","Convolvulaceae","Perennial","Perennial Forb"
"93","ipom cost","Ipomoea","","costellata","","","Crestrib Morning Glory","Convolvulaceae","Annual","Summer Annual"
"94","apod undu","Apodanthera","","undulata","","","Melon loco","Cucurbitaceae","Perennial","Perennial Forb"
"95","ephe trif","Ephedra","","trifurca","","","Longleaf jointfir","Ephedraceae","Perennial","Shrub"
"96","crot cory","Croton","","potsii","corymbulosus","","Leatherweed","Euphorbiaceae","Perennial","Subshrub"
"97","euph exst","Euphorbia","","exstipulata","","","Squareseed spurge","Euphorbiaceae","Annual","Summer Annual"
"98","euph fend","Euphorbia","","fendleri","","","Fendler's sandmat","Euphorbiaceae","Annual","Summer Annual"
"99","euph micr","Euphorbia","","micromera","","","Sonoran sandmat","Euphorbiaceae","Annual","Summer Annual"
"100","euph serp","Euphorbia","","serpyllifolia","","","Thymeleaf sandmat","Euphorbiaceae","Annual","Summer Annual"
"101","euph serr","Euphorbia","","serrula","","","Sawtooth sandmat","Euphorbiaceae","Annual","Summer Annual"
"102","euph sp","Euphorbia","","sp.","","","Unknown","Euphorbiaceae","Annual","Summer and Winter Annual"
"103","erod cicu","Erodium","","cicutarium","","","Redstem stork's bill","Geraniaceae","Annual","Summer and Winter Annual"
"104","erod texa","Erodium","","texanum","","","Texas stork's bill","Geraniaceae","Annual","Winter Annual"
"105","acac cons","Vachellia","Acacia","constricta","","","Whitethorn acacia","Leguminosae","Perennial","Shrub"
"106","acac greg","Mimosa","Acacia","aculeaticarpa","greggii","","Catclaw acacia","Leguminosae","Perennial","Shrub"
"107","astr allo","Astragalus","","allochrous","","","Halfmoon milkvetch","Leguminosae","Annual","Winter Annual"
"108","astr nutt","Astragalus","","nuttallianus","","","Smallflowered milkvetch","Leguminosae","Annual","Winter Annual"
"109","astr sp","Astragalus","","sp.","","","Unknown","Leguminosae","Annual","Winter Annual"
"110","cass lept","Chamaecrista","Cassia","nictitans","leptadenia","var. mensalis","Sensitive partridge pea","Leguminosae","Annual","Summer Annual"
"111","crot pumi","Crotalaria","","pumila","","","Low rattlebox","Leguminosae","Annual","Summer Annual"
"112","dale brac","Dalea","","brachystachya","","","Fort Bowie prairie clover","Leguminosae","Annual","Summer and Winter Annual"
"113","dale nana","Dalea","","nana","","","Dwarf prairie clover","Leguminosae","Perennial","Perennial Forb"
"114","dale pogo","Dalea","","pogonathera","","","Bearded prairie clover","Leguminosae","Perennial","Perennial Forb"
"115","dale sp","Dalea","","sp.","","","Unknown","Leguminosae","Unknown","Unknown"
"116","hoff dens","Hoffmanseggia","Hoffmannseggia","glauca","densiflora","","Hog potato","Leguminosae","Perennial","Perennial Forb"
"117","lupi brev","Lupinus","","brevicaulis","","","Shortstem lupine","Leguminosae","Annual","Winter Annual"
"118","lupi conc","Lupinus","","concinnus","","","Bajada lupine","Leguminosae","Annual","Winter Annual"
"119","lupi sp","Lupinus","","sp.","","","Unknown","Leguminosae","Annual","Winter Annual"
"120","lupi sp2","Lupinus","","sp.","","distinct from lupi sp","Unknown","Leguminosae","Annual","Winter Annual"
"121","mimo acul","Mimosa","","aculeaticarpa","","","Catclaw mimosa","Leguminosae","Perennial","Shrub"
"122","pros glan","Prosopis","","glandulosa","","","Honey Mesquite","Leguminosae","Perennial","Shrub"
"123","pros sp","Prosopis","","sp.","","","Unknown","Leguminosae","Perennial","Shrub"
"124","pros velu","Prosopis","","velutina","","","Velvet Mesquite","Leguminosae","Perennial","Shrub"
"125","cass bauh","Senna","Cassia","bauhinoides","","","Twinleaf senna","Leguminosae","Perennial","Subshrub"
"126","abut parv","Abutilon","","parvulum","","","Indian mallow","Malvaceae","Perennial","Perennial Forb"
"127","sida phys","Rhynchosida","Sida","physocalyx","","","Buffpetal","Malvaceae","Perennial","Subshrub"
"128","sida proc","Sida","","abutifolia","procumbens","","Spreading fanpetals","Malvaceae","Perennial","Perennial Forb"
"129","sida neom","Sida","","neomexicana","","","New Mexico fanpetals","Malvaceae","Perennial","Perennial Forb"
"130","sida sp","Sida","","sp.","","","Unknown","Malvaceae","Annual","Summer Annual"
"131","sida spin","Sida","","spinosa","","","Prickly Fanpetals","Malvaceae","Annual","Summer Annual"
"132","spha angu","Sphaeralcea","","angustifolia","","","Copper globemallow","Malvaceae","Perennial","Subshrub"
"133","spha coul","Sphaeralcea","","coulteri","","","Coulter's globemallow","Malvaceae","Annual","Summer and Winter Annual"
"134","spha hast","Sphaeralcea","","hastulata","","","Spear globemallow","Malvaceae","Perennial","Subshrub"
"135","spha inca","Sphaeralcea","","incana","","","Gray Globemallow","Malvaceae","Perennial","Subshrub"
"136","spha laxa","Sphaeralcea","","laxa","","","Caliche globemallow","Malvaceae","Perennial","Subshrub"
"137","spha sp","Sphaeralcea","","sp.","","","Unknown","Malvaceae","Unknown","Unknown"
"138","prob parv","Proboscidea","","parviflora","","","Devil's Claw","Martyniaceae","Annual","Summer Annual"
"139","moll cerv","Mollugo","","cerviana","","","Threadstem Carpetweed","Molluginaceae","Annual","Summer Annual"
"140","moll sp","Mollugo","","sp.","","","Unknown","Molluginaceae","Annual","Summer Annual"
"141","moll vert","Mollugo","","verticillata","","","Green Carpetweed","Molluginaceae","Annual","Summer Annual"
"142","tali angu","Phemeranthus","Talinum","angustissimum","","","Orange fameflower","Montiaceae","Perennial","Perennial Forb"
"143","tali aura","Phemeranthus","Talinum","aurantiacus","aurantiacum","","Orange fameflower","Montiaceae","Perennial","Perennial Forb"
"144","tali sp","Phemeranthus","Talinum","sp.","","","Unknown","Montiaceae","Perennial","Perennial Forb"
"145","alli inca","Allionia","","incarnata","","","Trailing windmills","Nyctaginaceae","Perennial","Perennial Forb"
"146","alli sp","Allionia","","sp.","","","Unknown","Nyctaginaceae","Perennial","Perennial Forb"
"147","ammo chen","Ammocodon","","chenopodioides","","","Goosefoot monopod","Nyctaginaceae","Perennial","Perennial Forb"
"148","boer cocc","Boerhavia","","coccinea","","","Garnet spiderling","Nyctaginaceae","Perennial","Perennial Forb"
"149","boer coul","Boerhavia","","coulteri","","","Coulter's spiderling","Nyctaginaceae","Annual","Summer Annual"
"150","boer inte","Boerhavia","","intermedia","","","Firewing spiderling","Nyctaginaceae","Annual","Summer Annual"
"151","boer sp","Boerhavia","","sp.","","","Unknown","Nyctaginaceae","Annual","Summer Annual"
"152","boer torr","Boerhavia","","spicata","torreyana","","Creeping spiderling","Nyctaginaceae","Annual","Summer Annual"
"153","oeno prim","Oenothera","","primiveris","","","Desert evening primrose","Onagraceae","Annual","Winter Annual"
"154","oeno sp","Oenothera","","sp.","","","Unknown","Onagraceae","Annual","Winter Annual"
"155","esch mexi","Eschscholzia","","californica","mexicana","","California poppy","Papaveraceae","Annual","Winter Annual"
"156","lina texa","Nuttallanthus","Linaria","texanus","texana","","Texas toadflax","Plantaginaceae","Annual","Winter Annual"
"157","plan purs","Plantago","","patagonica","purshii","","Woolly plantain","Plantaginaceae","Annual","Winter Annual"
"158","aris adsc","Aristida","","adscensionis","","","Sixweeks threeawn","Poaceae","Annual","Summer Annual"
"159","aris long","Aristida","","purpurea","","var. longiseta","Purple threeawn","Poaceae","Perennial","Perennial Grass"
"160","aris sp","Aristida","","sp.","","","Unknown","Poaceae","Unknown","Unknown"
"161","aris hamu","Aristida","","ternipes","hamulosa","var. gentilis","Spidergrass","Poaceae","Perennial","Perennial Grass"
"162","both barb","Bothriochloa","","barbinodis","","","Cane bluestem","Poaceae","Perennial","Perennial Grass"
"163","bout aris","Bouteloua","","aristidoides","","","Needle grama","Poaceae","Annual","Summer Annual"
"164","bout sp","Bouteloua","","sp.","","","Unknown","Poaceae","Annual","Summer Annual"
"165","pani ariz","Brachiaria","Panicum","arizonica","","","Arizona Signalgrass","Poaceae","Annual","Summer Annual"
"166","brom rube","Bromus","","rubens","","","Red brome","Poaceae","Annual","Winter Annual"
"167","bout dact","Buchloe","Bouteloua","dactyloides","","","Buffalo grass","Poaceae","Perennial","Perennial Grass"
"168","chlo virg","Chloris","","virgata","","","Feather fingergrass","Poaceae","Annual","Summer Annual"
"169","bout barb","Chondrosum","Bouteloua","barbatum","barbata","","Sixweeks grama","Poaceae","Annual","Summer Annual"
"170","bout erio","Chondrosum","Bouteloua","eriopodum","eriopoda","","Black grama","Poaceae","Perennial","Perennial Grass"
"171","tric cali","Digitaria","Trichachne","californica","","","Arizona cottontop","Poaceae","Perennial","Perennial Grass"
"172","sita hyst","Elymus","Sitanion","elymoides","hystrix","","Squirreltail","Poaceae","Perennial","Perennial Grass"
"173","enne desv","Enneapogon","","desvauxii","","","Nineawn pappusgrass","Poaceae","Perennial","Perennial Grass"
"174","erag cili","Eragrostis","","cilianensis","","","Stinkgrass","Poaceae","Annual","Summer Annual"
"175","erag inte","Eragrostis","","intermedia","","","Plains Lovegrass","Poaceae","Perennial","Perennial Grass"
"176","erag lehm","Eragrostis","","lehmanniana","","","Lehmann's lovegrass","Poaceae","Perennial","Perennial Grass"
"177","erag arid","Eragrostis","","pectinacea","arida","","Desert lovegrass","Poaceae","Annual","Summer Annual"
"178","erag sp","Eragrostis","","sp.","","","Unknown","Poaceae","Perennial","Perennial Grass"
"179","erio lemm","Eriochloa","","acuminata","lemmonii","","Canyon cupgrass","Poaceae","Annual","Summer and Winter Annual"
"180","trid pulc","Erioneuron","Tridens","pulchellum","","","Fluff grass","Poaceae","Perennial","Perennial Grass"
"181","hila muti","Hilaria","","mutica","","","Tobosa grass","Poaceae","Perennial","Perennial Grass"
"182","lycu phle","Lycurus","","phleoides","","","Wolf tail","Poaceae","Perennial","Perennial Grass"
"183","muhl port","Muhlenbergia","","porteri","","","Bush Muhly","Poaceae","Perennial","Perennial Grass"
"184","muhl sp","Muhlenbergia","","sp.","","","Unknown","Poaceae","Unknown","Unknown"
"185","pani hirt","Panicum","","hirticaule","","","Mexican panicgrass","Poaceae","Annual","Summer and Winter Annual"
"186","pani mili","Panicum","","miliaceum","","","Broomcorn Millet","Poaceae","Annual","Summer Annual"
"187","pani sp","Panicum","","sp.","","","Unknown","Poaceae","Annual","Summer Annual"
"188","schi barb","Schismus","","barbatus","","","Mediterranean grass","Poaceae","Annual","Winter Annual"
"189","seta leuc","Setaria","","leucopila","","","Plains Bristlegrass","Poaceae","Perennial","Perennial Grass"
"190","seta macr","Setaria","","macrostachya","","","Bristle grass","Poaceae","Perennial","Perennial Grass"
"191","spor cont","Sporobolus","","contractus","","","Spike dropseed","Poaceae","Perennial","Perennial Grass"
"192","trag bert","Tragus","","berteronianus","","","Spiked Bur Grass","Poaceae","Annual","Summer Annual"
"193","annu gras","Unknown","","annual grass","","","Unknown","Poaceae","Annual","Unknown"
"194","annu gras1","Unknown","","annual grass","","distinct from other annugrass","Unknown","Poaceae","Annual","Unknown"
"195","annu gras2","Unknown","","annual grass","","distinct from other annugrass","Unknown","Poaceae","Annual","Unknown"
"196","unkn gras","Unknown","","grass","","","Unknown","Poaceae","Unknown","Unknown"
"197","unkn gras2","Unknown","","grass","","distinct from unkn gras","Unknown","Poaceae","Unknown","Unknown"
"198","pere gras","Unknown","","perenial grass","","","Unknown","Poaceae","Perennial","Perennial Grass"
"199","vulp octo","Vulpia","","octoflora","","","Sixweeks fescue","Poaceae","Annual","Winter Annual"
"200","eria diff","Eriastrum","","diffusum","","","Miniature woollystar","Polemoniaceae","Annual","Winter Annual"
"201","gili mexi","Gilia","","mexicana","","","El Paso gilia","Polemoniaceae","Annual","Winter Annual"
"202","gili sinu","Gilia","","sinuata","","","Rosy gilia","Polemoniaceae","Annual","Winter Annual"
"203","lina bige","Linanthus","","bigelovii","","","Bigelow's linanthus","Polemoniaceae","Annual","Winter Annual"
"204","lina sp","Linanthus","","sp.","","","Unknown","Polemoniaceae","Annual","Winter Annual"
"205","poly twee","Polygala","","tweedyi","","","Shrubby milkwort","Polygalaceae","Perennial","Subshrub"
"206","erio aber","Eriogonum","","abertianum","","","Abert's buckwheat","Polygonaceae","Annual","Summer and Winter Annual"
"207","erio poly","Eriogonum","","polycladon","","","Sorrel buckwheat","Polygonaceae","Annual","Summer Annual"
"208","rume alti","Rumex","","altissimus","","","Smooth dock","Polygonaceae","Perennial","Perennial Forb"
"209","rume angu","Rumex","","crispus","angustifolium","","Curly dock","Polygonaceae","Perennial","Perennial Forb"
"210","rume hyme","Rumex","","hymenosepalus","","","Desert dock","Polygonaceae","Perennial","Perennial Forb"
"211","port parv","Portulaca","","halimoides","parvula","","Silkcotton Purslane","Portulacaceae","Annual","Summer Annual"
"212","port sp","Portulaca","","sp.","","","Unknown","Portulacaceae","Annual","Summer Annual"
"213","port suff","Portulaca","","suffretescens","","","Shrubby purslane","Portulacaceae","Perennial","Subshrub"
"214","andr occi","Androsace","","occidentalis","","","Western rockjasmine","Primulaceae","Annual","Winter Annual"
"215","delp sp","Delphinium","","sp.","","","Unknown","Ranunculaceae","Annual","Winter Annual"
"216","lyci ande","Lycium","","andersonii","","","Anderson wolfberry","Solanaceae","Perennial","Shrub"
"217","lyci torr","Lycium","","torreyi","","","Torrey wolfberry","Solanaceae","Perennial","Shrub"
"218","sola elea","Solanum","","elaeagnifolium","","","Silverleaf nightshade","Solanaceae","Perennial","Subshrub"
"219","sola rost","Solanum","","rostratum","","","Buffalobur Nightshade","Solanaceae","Annual","Summer Annual"
"220","papp vagi","Unknown","","","","","Unknown","Unknown","Unknown","Unknown"
"221","annu forb","Unknown","","annual forb","","","Unknown","Unknown","Annual","Unknown"
"222","annu forb2","Unknown","","annual forb","","distinct from other annuforbs","Unknown","Unknown","Annual","Unknown"
"223","annu forb3","Unknown","","annual forb","","distinct from other annuforbs","Unknown","Unknown","Annual","Unknown"
"224","annu forb4","Unknown","","annual forb","","distinct from other annuforbs","Unknown","Unknown","Annual","Unknown"
"225","annu forb5","Unknown","","annual forb","","distinct from other annuforbs","Unknown","Unknown","Annual","Unknown"
"226","unkn forb","Unknown","","forb","","","Unknown","Unknown","Unknown","Unknown"
"227","unkn forb2","Unknown","","forb","","distinct from unkn forb","Unknown","Unknown","Unknown","Unknown"
"228","pere forb","Unknown","","perennial forb","","","Unknown","Unknown","Perennial","Perennial Forb"
"229","unkn","Unknown","","plant","","","Unknown","Unknown","Unknown","Unknown"
"230","unkn shrb","Unknown","","shrub","","","Unknown","Unknown","Perennial","Shrub"
"231","tetr coul","Tetraclea","","coulteri","","","Coulter's wrinkle fruit","Verbenaceae","Perennial","Subshrub"
"232","kall cali","Kallstroemia","","californica","","","California Caltrop","Zygophyllaceae","Annual","Summer Annual"
"233","kall gran","Kallstroemia","","grandiflora","","","Arizona Poppy","Zygophyllaceae","Annual","Summer Annual"
"234","kall hirs","Kallstroemia","","hirsutissima","","","Hairy Caltrop","Zygophyllaceae","Annual","Summer Annual"
"235","kall sp","Kallstroemia","","sp.","","","Unknown","Zygophyllaceae","Annual","Summer Annual"
"236","larr trid","Larrea","","tridentata","","","Creosote bush","Zygophyllaceae","Perennial","Shrub"
